"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"171",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.4,82
"172",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.45,82
"173",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.5,82
"174",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.55,82
"175",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.6,82
"176",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.65,82
"177",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.7,82
"178",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.75,82
"179",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.8,82
"180",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.85,82
"181",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.9,82
"182",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.95,82
"183",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.975,82
"184",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"10","quantile",0.99,82
"185",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.01,76
"186",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.025,76
"187",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.05,76
"188",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.1,76
"189",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.15,76
"190",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.2,76
"191",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.25,76
"192",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.3,76
"193",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.35,76
"194",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.4,76
"195",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.45,76
"196",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.5,76
"197",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.55,76
"198",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.6,76
"199",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.65,76
"200",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.7,76
"201",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.75,76
"202",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.8,76
"203",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.85,76
"204",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.9,76
"205",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.95,76
"206",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.975,76
"207",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"11","quantile",0.99,76
"208",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.01,68
"209",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.025,68
"210",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.05,68
"211",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.1,68
"212",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.15,68
"213",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.2,68
"214",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.25,68
"215",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.3,68
"216",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.35,68
"217",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.4,68
"218",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.45,68
"219",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.5,68
"220",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.55,68
"221",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.6,68
"222",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.65,68
"223",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.7,68
"224",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.75,68
"225",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.8,68
"226",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.85,68
"227",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.9,68
"228",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.95,68
"229",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.975,68
"230",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"12","quantile",0.99,68
"231",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.01,55
"232",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.025,55
"233",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.05,55
"234",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.1,55
"235",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.15,55
"236",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.2,55
"237",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.25,55
"238",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.3,55
"239",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.35,55
"240",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.4,55
"241",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.45,55
"242",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.5,55
"243",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.55,55
"244",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.6,55
"245",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.65,55
"246",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.7,55
"247",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.75,55
"248",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"13","quantile",0.8,55
